price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state
9950,2008,dodge,like new,8 cylinders,gas,154391,clean,automatic,4wd,mid-size,pickup,red,mi
20295,2017,nissan,excellent,6 cylinders,gas,80207,clean,automatic,4wd,full-size,SUV,blue,vt
30995,2020,buick,excellent,6 cylinders,gas,35915,clean,automatic,fwd,full-size,SUV,grey,mn
10995,2015,volkswagen,excellent,4 cylinders,gas,106118,clean,automatic,4wd,mid-size,SUV,red,nc
10999,2008,nissan,like new,6 cylinders,gas,82736,clean,automatic,rwd,mid-size,SUV,red,fl
19999,2020,nissan,excellent,6 cylinders,gas,12054,clean,automatic,rwd,full-size,SUV,white,tx
2950,2008,hyundai,good,4 cylinders,gas,191200,clean,automatic,fwd,full-size,sedan,blue,nj
10995,2009,cadillac,good,6 cylinders,gas,92340,clean,automatic,rwd,full-size,sedan,purple,az
44495,2019,infiniti,excellent,8 cylinders,gas,53000,clean,automatic,4wd,full-size,SUV,white,ny
13901,2009,nissan,excellent,8 cylinders,gas,128294,clean,automatic,rwd,full-size,truck,white,ok
10999,2012,hyundai,excellent,3 cylinders,gas,87548,clean,automatic,fwd,mid-size,sedan,silver,nc
8000,2005,ford,good,6 cylinders,gas,183700,clean,automatic,rwd,full-size,van,red,ut
42990,2017,ford,good,10 cylinders,gas,68655,clean,automatic,rwd,full-size,truck,white,nj
24990,2007,ford,good,10 cylinders,gas,46463,clean,automatic,rwd,full-size,truck,white,ny
18875,2014,ram,good,8 cylinders,gas,185337,clean,automatic,4wd,full-size,truck,white,tn
36990,2017,mitsubishi,good,4 cylinders,diesel,45925,clean,automatic,rwd,full-size,truck,white,va
23888,2016,nissan,good,6 cylinders,gas,32348,clean,automatic,rwd,compact,coupe,grey,tx
14700,2005,ford,excellent,8 cylinders,gas,80926,clean,automatic,rwd,full-size,convertible,silver,fl
7600,2007,bmw,excellent,6 cylinders,gas,141000,clean,automatic,4wd,mid-size,SUV,white,pa
11700,2016,nissan,like new,4 cylinders,gas,37000,clean,automatic,fwd,mid-size,coupe,red,nj
9150,2010,chevrolet,good,6 cylinders,gas,105400,lien,automatic,fwd,full-size,SUV,white,mn
25800,2020,chevrolet,like new,4 cylinders,gas,29231,clean,automatic,4wd,mid-size,SUV,grey,ks
35900,2009,ford,excellent,8 cylinders,gas,16000,clean,automatic,4wd,full-size,van,white,az
6700,2013,chevrolet,excellent,4 cylinders,gas,84690,clean,manual,fwd,full-size,hatchback,white,fl
22999,2014,ford,excellent,8 cylinders,gas,133508,clean,automatic,4wd,full-size,pickup,red,ca
10491,2015,ford,excellent,4 cylinders,gas,23850,clean,automatic,fwd,sub-compact,sedan,grey,or
21900,2014,ram,excellent,8 cylinders,gas,0,clean,automatic,4wd,full-size,pickup,black,fl
17500,2012,bmw,excellent,6 cylinders,gas,112500,clean,automatic,4wd,mid-size,SUV,white,pa
2950,2008,hyundai,good,4 cylinders,gas,191200,clean,automatic,fwd,full-size,sedan,blue,nj
44995,2017,ford,excellent,8 cylinders,diesel,195696,clean,automatic,4wd,full-size,pickup,white,ny
65500,2018,ford,like new,8 cylinders,diesel,53335,clean,automatic,4wd,full-size,pickup,white,fl
13895,2011,gmc,excellent,8 cylinders,gas,180500,clean,automatic,4wd,full-size,pickup,black,wi
12997,2014,nissan,excellent,6 cylinders,gas,127048,clean,automatic,4wd,full-size,SUV,custom,ok
16000,2012,mercedes-benz,excellent,6 cylinders,gas,92412,clean,automatic,4wd,full-size,SUV,silver,co
6995,2013,mazda,excellent,4 cylinders,gas,123000,clean,automatic,fwd,compact,sedan,silver,ri
18999,2016,ford,good,10 cylinders,gas,150512,clean,automatic,rwd,full-size,bus,white,nj
4988,2001,ford,good,8 cylinders,gas,134980,clean,automatic,rwd,full-size,truck,white,id
2000,2006,mazda,good,4 cylinders,gas,175382,clean,manual,4wd,full-size,sedan,silver,ca
14000,1974,chevrolet,good,8 cylinders,gas,14823,clean,automatic,rwd,mid-size,convertible,blue,ky
27254,2017,toyota,good,4 cylinders,gas,29149,clean,automatic,4wd,full-size,truck,grey,vt
39995,2014,ram,good,6 cylinders,diesel,169500,clean,automatic,4wd,full-size,truck,white,mi
8995,2014,ford,excellent,4 cylinders,gas,57000,clean,automatic,fwd,compact,sedan,black,wi
24990,2008,ford,good,8 cylinders,gas,139567,clean,automatic,rwd,full-size,truck,white,ok
19900,2011,cadillac,good,8 cylinders,gas,133257,clean,automatic,rwd,full-size,SUV,white,ms
21950,2017,chevrolet,excellent,8 cylinders,gas,98249,clean,automatic,rwd,full-size,van,white,nc
7950,2008,honda,excellent,4 cylinders,gas,168475,clean,automatic,4wd,mid-size,SUV,green,oh
22500,2011,chevrolet,good,8 cylinders,gas,95838,clean,automatic,4wd,full-size,pickup,black,mi
34900,2016,toyota,excellent,8 cylinders,gas,39485,clean,automatic,4wd,mid-size,truck,blue,ny
4995,2006,subaru,excellent,4 cylinders,gas,129617,clean,automatic,4wd,mid-size,SUV,silver,fl
22499,2017,dodge,excellent,6 cylinders,gas,99469,clean,automatic,4wd,full-size,SUV,black,de
9950,1999,gmc,excellent,6 cylinders,diesel,188591,clean,manual,rwd,full-size,truck,white,sd
18800,2007,ford,excellent,8 cylinders,diesel,205110,clean,automatic,4wd,full-size,truck,white,fl
25500,2012,ford,excellent,8 cylinders,gas,117000,lien,automatic,4wd,full-size,truck,silver,mi
1,2015,bmw,excellent,10 cylinders,gas,56505,clean,automatic,4wd,compact,sedan,black,fl
13999,2007,chevrolet,excellent,8 cylinders,gas,132559,clean,automatic,4wd,full-size,pickup,grey,or
15995,2015,chevrolet,excellent,6 cylinders,gas,128616,clean,automatic,fwd,compact,coupe,red,az
5995,2007,toyota,good,6 cylinders,gas,145689,clean,automatic,fwd,full-size,mini-van,grey,mn
15995,2011,chevrolet,excellent,6 cylinders,gas,99985,clean,automatic,rwd,full-size,convertible,silver,ca
7999,2008,lexus,excellent,6 cylinders,gas,171000,clean,automatic,4wd,full-size,sedan,silver,ma
17695,2017,ford,excellent,4 cylinders,hybrid,33896,clean,automatic,fwd,mid-size,sedan,grey,al
5300,2013,chrysler,excellent,6 cylinders,gas,76000,salvage,automatic,fwd,mid-size,sedan,grey,nj
23999,2013,ford,excellent,8 cylinders,diesel,223679,clean,automatic,4wd,full-size,pickup,white,ca
26800,2013,chevrolet,excellent,8 cylinders,gas,105703,clean,automatic,4wd,full-size,SUV,black,ny
